Group;  cell;  Dli; abs; perc
Int astro; 1; 6; 0.35559; 27.8671
Int astro; 1; 2; 0.33741; 26.4837
Int astro; 1; 20; 0.32225; 25.4396
Int astro; 1; 17; 0.17183; 13.8387
Int astro; 1; 40; 0.24064; 19.7371
Int astro; 1; 2; 0.057699; 4.8481
Int astro; 1; 4; 0.09005; 7.6441
Int astro; 1; 64; 0.20212; 18.6238
Int astro; 1; 38; 0.10879; 11.2047
Int astro; 1; 33; 0.18163; 19.7208
Int astro; 1; 17; 0.044578; 5.1681
Int astro; 1; 4; -0.015945; -1.9124
Int astro; 1; 17; 0.071721; 8.8222
Int astro; 1; 53; 0.1554; 20.5494
Int astro; 1; 10; 0.051417; 7.6746
Int astro; 1; 53; 0.10241; 16.2188
Int astro; 1; 4; -0.015697; -2.814
Int astro; 1; 27; 0.072989; 14.0307
Int astro; 1; 3; -0.030361; -5.9892
Int astro; 1; 5; 0.034421; 7.2141
Int astro; 1; 2; 0.058833; 12.5632
Int astro; 1; 16; 0.08127; 18.7969
Int astro; 1; 25; 0.082147; 20.256
Int astro; 1; 4; 0.013499; 3.5534
Int astro; 1; 16; 0.082189; 22.5776
Int astro; 1; 13; 0.062037; 18.1799
Int astro; 1; 4; -0.031375; -9.7341
Int astro; 1; 20; 0.026977; 8.952
Int astro; 1; 3; 0.12804; 47.8202
Int astro; 1; 5; 0.15524; 59.8864
Int astro; 1; 2; 0.16673; 68.7195
Int astro; 1; 15; 0.18011; 81.2186
Int astro; 1; 16; 0.11218; 58.5404
Int astro; 1; 4; -0.057151; -34.8977
Int astro; 1; 31; 0.08067; 55.268
Int astro; 1; 28; 0.055597; 52.2804
Int astro; 1; 16; 0.047583; 68.3213
Int astro; 1; 80; 0.10156; 199.1724
Int astro; 1; 12; 0.099383; -326.0451
Int astro; 5; 19; 0.42687; 7.058
Int astro; 5; 20; 0.45572; 8.2357
Int astro; 5; 33; 0.33542; 6.4939
Int astro; 5; 26; 0.25807; 5.1212
Int astro; 5; 27; 0.32172; 6.91
Int astro; 5; 21; 0.15515; 3.6369
Int astro; 7; 29; 0.42495; 9.2374
Int astro; 7; 43; 0.19954; 4.9466
Int astro; 7; 23; 0.32917; 8.4502
Int astro; 7; 58; 0.27421; 7.5985
Int astro; 8; 30; 0.57856; 12.2494
Int astro; 8; 27; 0.57806; 12.2648
Int astro; 8; 33; 0.6603; 14.0826
Int astro; 8; 23; 0.56744; 12.255
Int astro; 8; 29; 0.62168; 13.4736
Int astro; 8; 24; 0.36641; 8.0111
Int astro; 8; 21; 0.43268; 9.6818
Int astro; 8; 26; 0.48723; 11.0224
Int astro; 8; 20; 0.39131; 8.9187
Int astro; 8; 19; 0.4432; 10.1701
Int astro; 8; 20; 0.37749; 8.7295
Int astro; 8; 21; 0.30077; 7.0246
Int astro; 8; 33; 0.26314; 6.2482
Int astro; 8; 29; 0.19835; 4.7699
Int astro; 8; 19; 0.28894; 7.1363
Int astro; 8; 33; 0.26979; 7.0045
Int astro; 8; 42; 0.33881; 8.9785
Int astro; 8; 61; 0.30323; 8.5868
Int astro; 8; 27; 0.17268; 4.9573
Int astro; 8; 36; 0.33423; 9.6887
Int astro; 8; 23; 0.27369; 8.0298
Int astro; 8; 30; 0.26025; 7.824
Int astro; 8; 26; 0.16614; 5.0297
Int astro; 8; 32; 0.18678; 5.6953
Int astro; 9; 37; 0.23441; 5.5301
Int astro; 9; 44; 0.26007; 6.7732
Int astro; 9; 33; 0.25923; 7.0377
Int astro; 9; 71; 0.35716; 11.2394
Int astro; 9; 22; 0.29028; 9.9648
Int astro; 9; 30; 0.23445; 8.203
Int astro; 9; 27; 0.25882; 9.3239
Int astro; 10; 22; 0.35387; 18.3759
Int astro; 10; 39; 0.26492; 14.0318
Int astro; 10; 16; 0.13325; 7.1756
Int astro; 10; 29; 0.12684; 6.9683
Int astro; 10; 20; 0.14604; 8.1301
Int astro; 10; 24; 0.090822; 5.2108
Int astro; 10; 25; 0.22373; 13.2246
Int astro; 10; 30; 0.24478; 15.0171
Int astro; 10; 19; 0.19918; 12.7198
Int astro; 10; 33; 0.19005; 12.5324
Int astro; 10; 19; 0.14561; 10.2836
Int astro; 10; 16; 0.083964; 6.1861
Int astro; 10; 43; 0.17516; 13.6048
Int astro; 10; 26; 0.23146; 18.526
Int astro; 10; 21; 0.23834; 19.6384
Int astro; 10; 24; 0.10493; 8.8259
Int astro; 10; 25; 0.19359; 17.0055
Int astro; 10; 26; 0.22731; 20.6573
Int astro; 10; 25; 0.20484; 19.1203
Int astro; 10; 20; 0.10645; 10.2678
Int astro; 10; 23; 0.11828; 11.8748
Int astro; 10; 28; 0.11773; 12.3481
Int astro; 10; 23; 0.12914; 14.3446
Int astro; 10; 38; 0.17571; 20.6123
Int astro; 10; 38; 0.14517; 18.2416
Int astro; 10; 35; 0.14905; 20.553
Int astro; 10; 34; 0.19029; 26.9289
Int astro; 10; 35; 0.20145; 30.7243
Int astro; 10; 26; 0.13503; 21.5381
Int astro; 10; 13; 0.026402; 4.3701
Int astro; 10; 28; 0.12615; 21.1751
Int astro; 10; 18; 0.081989; 14.0671
Int astro; 10; 28; 0.14585; 25.3208
Int astro; 11; 32; 0.3127; 19.0658
