Group;  in;  out; indef; in/out;  in-out/in+out; hub_ranks; auth_ranks
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 0; 0; 0; inf; inf; 0.013333; 0.013333
Int astro; 1; 0; 0; inf; 1; 0; 0.026667
Int astro; 0; 1; 0; 0; -1; 0.026667; 0
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 5; 1; 0; -1; 0.0084388; 0
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 5; 0; 1; inf; 1; 0; 0.0084388
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
Int astro; 0; 0; 0; inf; inf; 0.0042194; 0.0042194
