Проект:; Класс; Число клеток; число активных клеток; % активных клеток; число рёбер;число принимающих клеток; число передающих клеток; пр/перед клеток; макс число передач в кадре;среднее число передач в кадре; среднее число связей на клетку; среднее число периодических связей на клетку; рёбер сжатого графа; клеток с событ; проц клет с соб;рёбер сжатого графа норм.; макс число передач в кадре норм.; ср число передач в кадре норм.; клеток с>16 перед
Project;	Type;	num_cell;	num_act_cell;	 percent;	num_edges_d;	num_rec_cell;num_tr_cell;	num_ind_cell;	 max_frame_event;	 sr_frame_event;	 sr_conn_cell;sr_conn_period;	 num_edges_compr;	cell_event;	cell_ev_perc;	 num_edges_norm;max_frame_event_norm;	 sr_frame_event_norm;	cell16tr;
AB\1\calculus_Int_1\; Int astro; 260; 2; 0.76923; 1; 1; 1; 0; 1; 0.015833; 0.0038462; 0; 1; 2; 0.76923; 0.0038462; 0.0038462; 6.0897e-05; 0; 0; 0; 0; 0; 0
AB\1\calculus_Int_2\; Int astro; 265; 9; 3.3962; 52; 4; 5; 0; 6; 1.1575; 0.19623; 0.18868; 14; 19; 7.1698; 0.05283; 0.022642; 0.0043679; 4; 1; 2; 2; 2; 0
AB\1\calculus_Int_3\; Int astro; 265; 20; 7.5472; 57; 8; 10; 2; 6; 0.72917; 0.21509; 0.17358; 24; 41; 15.4717; 0.090566; 0.022642; 0.0027516; 1; 4; 4; 4; 0; 0
AB\1\calculus_Int_4\; Int astro; 251; 79; 31.4741; 701; 33; 29; 17; 33; 9.1942; 2.757; 2.5179; 170; 90; 35.8566; 0.67729; 0.13147; 0.03663; 30; 19; 12; 14; 14; 10
AB\1\calculus_Int_5\; Int astro; 212; 182; 85.8491; 704; 68; 72; 40; 192; 33.9425; 3.1981; 1.9104; 396; 207; 97.6415; 1.8679; 0.90566; 0.16011; 23; 74; 40; 27; 9; 4
AB\1\calculus_Int_6\; Int astro; 256; 135; 52.7344; 563; 51; 53; 31; 38; 17.0733; 2.1797; 1.5078; 302; 182; 71.0938; 1.1797; 0.14844; 0.066693; 16; 35; 38; 30; 5; 2
AB\1\calculus_Int_7\; Int astro; 256; 9; 3.5156; 34; 4; 4; 1; 6; 1.5075; 0.11719; 0.089844; 15; 28; 10.9375; 0.058594; 0.023438; 0.0058887; 1; 2; 2; 2; 1; 0
AB\1\calculus_Int_8\; Int astro; 232; 95; 40.9483; 198; 33; 37; 25; 38; 11.9583; 0.84483; 0.35776; 147; 90; 38.7931; 0.63362; 0.16379; 0.051545; 0; 34; 29; 7; 0; 0
AB\1\calculus_Int_9\; Int astro; 250; 159; 63.6; 884; 59; 61; 39; 86; 32.27; 3.488; 2.528; 431; 128; 51.2; 1.724; 0.344; 0.12908; 27; 40; 45; 38; 13; 6
AB\1\calculus_Int_10\; Int astro; 272; 112; 41.1765; 312; 42; 47; 23; 28; 8.4508; 1.136; 0.65809; 189; 130; 47.7941; 0.69485; 0.10294; 0.031069; 5; 44; 33; 9; 3; 1
vyuk Pz I, II, III, IV\2\calculus_Int_2_1\; Int neuro; 484; 342; 70.6612; 4282; 129; 98; 114; 76; 32.255; 8.7686; 8.2211; 866; 50; 10.3306; 1.7893; 0.15702; 0.066643; 146; 62; 50; 76; 52; 65
vyuk Pz I, II, III, IV\2\calculus_Int_2_2\; Int neuro; 465; 307; 66.0215; 4407; 109; 89; 109; 86; 29.875; 9.3978; 8.8387; 824; 65; 13.9785; 1.772; 0.18495; 0.064247; 149; 54; 57; 53; 47; 77
vyuk Pz I, II, III, IV\2\calculus_Int_2_3\; Int neuro; 494; 236; 47.7733; 2376; 85; 76; 75; 47; 16.3758; 4.7854; 4.4049; 519; 50; 10.1215; 1.0506; 0.095142; 0.033149; 78; 50; 56; 51; 24; 34
vyuk Pz I, II, III, IV\2\calculus_Int_2_4\; Int neuro; 566; 566; 100; 15094; 159; 164; 243; 695; 221.9075; 26.4417; 25.7527; 3067; 566; 100; 5.4187; 1.2279; 0.39206; 511; 2; 11; 88; 148; 317
vyuk Pz I, II, III, IV\2\calculus_Int_2_5\; Int neuro; 566; 565; 99.8233; 4873; 201; 203; 161; 266; 57.4142; 8.6095; 6.682; 2521; 559; 98.7633; 4.4541; 0.46996; 0.10144; 233; 14; 109; 332; 102; 8
vyuk Pz I, II, III, IV\2\calculus_Int_2_6\; Int neuro; 562; 523; 93.0605; 3577; 188; 204; 129; 832; 65.3833; 6.29; 4.4537; 2015; 487; 86.6548; 3.5854; 1.4804; 0.11634; 119; 20; 176; 273; 43; 6
vyuk Pz I, II, III, IV\2\calculus_Int_2_7\; Int neuro; 498; 492; 98.7952; 3779; 172; 177; 142; 383; 53.1758; 7.5884; 5.7711; 2018; 374; 75.1004; 4.0522; 0.76908; 0.10678; 165; 20; 95; 311; 61; 1
vyuk Pz I, II, III, IV\2\calculus_Int_2_8\; Int neuro; 575; 572; 99.4783; 2890; 233; 227; 112; 235; 30.2433; 5.0261; 2.9843; 1902; 308; 53.5652; 3.3078; 0.4087; 0.052597; 54; 55; 275; 225; 7; 0
vyuk Pz I, II, III, IV\2\calculus_Int_2_9\; Int neuro; 507; 507; 100; 3718; 183; 201; 123; 785; 60.9533; 7.1637; 5.2899; 1987; 404; 79.6844; 3.9191; 1.5483; 0.12022; 159; 24; 150; 280; 44; 8
vyuk Pz I, II, III, IV\2\calculus_Int_2_10\; Int neuro; 501; 470; 93.8124; 1020; 201; 202; 63; 752; 24.4558; 1.9082; 0.41717; 848; 308; 61.477; 1.6926; 1.501; 0.048814; 1; 228; 181; 6; 0; 0
vyuk Pz I, II, III, IV\2\calculus_Int_2_11\; Int neuro; 447; 422; 94.4072; 6975; 147; 177; 98; 380; 141.405; 15.604; 14.7472; 1928; 401; 89.7092; 4.3132; 0.85011; 0.31634; 308; 30; 34; 71; 125; 152
vyuk Pz I, II, III, IV\2\calculus_Int_2_12\; Int neuro; 490; 450; 91.8367; 8330; 149; 227; 74; 581; 194.0392; 17; 16.0837; 2015; 431; 87.9592; 4.1122; 1.1857; 0.396; 338; 20; 39; 98; 112; 175
D Inhibitors 30 53\30 and 53_0\calculus_int_2_3\; Int neuro; 370; 329; 88.9189; 489; 131; 130; 62; 145; 6.3433; 1.3216; 0.31622; 427; 363; 98.1081; 1.1541; 0.39189; 0.017144; 0; 183; 56; 2; 0; 0
D Inhibitors 30 53\30 and 53_0\calculus_int_2_4\; Int neuro; 371; 360; 97.035; 1056; 151; 142; 67; 68; 11.2183; 2.8464; 1.2372; 811; 361; 97.3046; 2.186; 0.18329; 0.030238; 0; 115; 198; 27; 0; 0
D Inhibitors 30 53\30 and 53_0\calculus_int_2_11\; Int neuro; 368; 350; 95.1087; 832; 146; 147; 55; 329; 12.1783; 2.2609; 0.96467; 628; 368; 100; 1.7065; 0.89402; 0.033093; 5; 154; 126; 20; 2; 0
D Inhibitors 30 53\30 and 53_0\calculus_int_2_12\; Int neuro; 403; 348; 86.3524; 781; 146; 135; 62; 55; 8.7025; 1.938; 0.99256; 534; 390; 96.7742; 1.3251; 0.13648; 0.021594; 12; 160; 68; 22; 7; 1
h 30 37 53 2h after hypoxia\2\calculus_int_2_1\; Int neuro; 466; 365; 78.3262; 2525; 134; 138; 92; 143; 37.94; 5.3326; 4.4056; 955; 84; 18.0258; 2.0494; 0.30687; 0.081416; 95; 96; 80; 77; 43; 27
h 30 37 53 2h after hypoxia\2\calculus_int_2_2\; Int neuro; 468; 382; 81.6239; 1880; 156; 147; 78; 236; 32.69; 3.891; 2.7415; 948; 94; 20.0855; 2.0256; 0.50427; 0.06985; 65; 100; 108; 82; 34; 6
h 30 37 53 2h after hypoxia\2\calculus_int_2_3\; Int neuro; 466; 298; 63.9485; 895; 115; 117; 66; 78; 15.8942; 1.8283; 0.98283; 573; 90; 19.3133; 1.2296; 0.16738; 0.034108; 17; 107; 89; 44; 6; 0
h 30 37 53 2h after hypoxia\1\calculus_int_1_1\; Int neuro; 350; 17; 4.8571; 37; 6; 9; 2; 5; 0.65; 0.10571; 0.074286; 17; 3; 0.85714; 0.048571; 0.014286; 0.0018571; 0; 2; 3; 3; 0; 0
h 30 37 53 2h after hypoxia\1\calculus_int_1_2\; Int neuro; 362; 9; 2.4862; 5; 5; 4; 0; 1; 0.046667; 0.013812; 0; 5; 1; 0.27624; 0.013812; 0.0027624; 0.00012891; 0; 1; 0; 0; 0; 0
h 30 37 53 2h after hypoxia\1\calculus_int_1_3\; Int neuro; 329; 293; 89.0578; 497; 123; 126; 44; 189; 6.4558; 1.5106; 0.35258; 437; 326; 99.0881; 1.3283; 0.57447; 0.019623; 0; 153; 77; 1; 0; 0
h 30 37 53 2h after hypoxia\1\calculus_int_1_4\; Int neuro; 368; 350; 95.1087; 832; 146; 147; 55; 329; 12.1783; 2.2609; 0.96467; 628; 368; 100; 1.7065; 0.89402; 0.033093; 5; 154; 126; 20; 2; 0
h 30 37 53 2h after hypoxia\1\calculus_int_1_5\; Int neuro; 403; 348; 86.3524; 781; 146; 135; 62; 55; 8.7025; 1.938; 0.99256; 534; 390; 96.7742; 1.3251; 0.13648; 0.021594; 12; 160; 68; 22; 7; 1
ulus_C1_2\; Old astro; 299; 58; 19.398; 386; 24; 23; 11; 14; 3.4504; 1.2876; 1.2107; 80; 82; 27.4247; 0.26756; 0.046823; 0.01154; 13; 17; 13; 9; 4; 5
ulus_C2_1\; Old astro; 331; 131; 39.577; 3365; 42; 37; 52; 86; 26.4742; 10.1329; 9.8943; 326; 88; 26.5861; 0.98489; 0.25982; 0.079982; 60; 32; 14; 13; 12; 45
ulus_C2_2\; Old astro; 313; 37; 11.8211; 243; 13; 10; 14; 9; 2.3467; 0.76358; 0.70607; 52; 66; 21.0863; 0.16613; 0.028754; 0.0074973; 9; 7; 8; 7; 6; 2
ulus_C3_1\; Old astro; 325; 22; 6.7692; 322; 6; 3; 13; 11; 1.9783; 0.99077; 0.96615; 39; 53; 16.3077; 0.12; 0.033846; 0.0060872; 10; 7; 2; 2; 4; 5
ulus_C3_2\; Old astro; 322; 22; 6.8323; 57; 8; 7; 7; 3; 0.30833; 0.17702; 0.13043; 21; 25; 7.764; 0.065217; 0.0093168; 0.00095756; 2; 12; 0; 2; 1; 0
ulus_C4_1\; Old astro; 304; 76; 25; 561; 25; 29; 22; 22; 3.7592; 1.8355; 1.7072; 115; 53; 17.4342; 0.37829; 0.072368; 0.012366; 19; 19; 17; 14; 6; 8
ulus_C4_2\; Old astro; 290; 93; 32.069; 612; 32; 32; 29; 15; 4.3558; 2.1103; 1.8655; 165; 73; 25.1724; 0.56897; 0.051724; 0.01502; 21; 21; 22; 20; 5; 8
ulus_C1_1\; Old astro; 297; 65; 21.8855; 1261; 22; 19; 24; 32; 8.3362; 4.2458; 4.1785; 129; 44; 14.8148; 0.43434; 0.10774; 0.028068; 39; 11; 6; 9; 8; 27
