Group;  in;  out; indef; in/out;  in-out/in+out; hub_ranks; auth_ranks
Control; 6815; 6656; 13; 1.0239; 0.011803; 0.0022151; 0.0022136
Control; 6724; 6816; 10; 0.9865; -0.0067947; 0.0022191; 0.0022246
Control; 5810; 5912; 10; 0.98275; -0.0087016; 0.002223; 0.0022085
Control; 3136; 2828; 6; 1.1089; 0.051643; 0.0021949; 0.0021976
Control; 1421; 1323; 2; 1.0741; 0.035714; 0.0020644; 0.0020726
Control; 1714; 2034; 7; 0.84267; -0.085379; 0.0021481; 0.0020883
Control; 3592; 4378; 10; 0.82047; -0.09862; 0.0022096; 0.0022021
Control; 1872; 2521; 7; 0.74256; -0.14774; 0.0021666; 0.002135
Control; 3854; 4027; 6; 0.95704; -0.021952; 0.0021961; 0.0022148
Control; 5101; 5908; 17; 0.86341; -0.073304; 0.0022106; 0.0022099
Control; 2216; 2838; 7; 0.78083; -0.12307; 0.002177; 0.0021602
Control; 3832; 4708; 6; 0.81393; -0.10258; 0.002213; 0.002216
Control; 4294; 4337; 6; 0.99009; -0.004982; 0.002202; 0.002211
Control; 5914; 5301; 5; 1.1156; 0.054659; 0.002193; 0.002228
Control; 4157; 4572; 11; 0.90923; -0.047543; 0.002202; 0.0021993
Control; 4488; 4664; 5; 0.96226; -0.019231; 0.0021998; 0.002215
Control; 5490; 5520; 8; 0.99457; -0.0027248; 0.0021986; 0.0022101
Control; 2592; 2691; 4; 0.96321; -0.018739; 0.0021944; 0.002194
Control; 3045; 3517; 4; 0.86579; -0.071929; 0.0021834; 0.0021868
Control; 3565; 4741; 16; 0.75195; -0.14158; 0.0022008; 0.002207
Control; 4700; 4231; 1; 1.1108; 0.052514; 0.0021977; 0.0022045
Control; 5533; 4922; 5; 1.1241; 0.058441; 0.0022048; 0.0022145
Control; 4996; 4973; 4; 1.0046; 0.0023072; 0.0022114; 0.0022197
Control; 6546; 6751; 13; 0.96963; -0.015417; 0.0022176; 0.0022127
Control; 3420; 3520; 8; 0.97159; -0.014409; 0.0022017; 0.0022174
Control; 5426; 5814; 5; 0.93326; -0.03452; 0.002212; 0.0022106
Control; 4577; 4359; 10; 1.05; 0.024396; 0.0022116; 0.0022087
Control; 7767; 7626; 10; 1.0185; 0.00916; 0.0022255; 0.0022265
Control; 5915; 5247; 4; 1.1273; 0.059846; 0.0022178; 0.002213
Control; 5493; 5450; 5; 1.0079; 0.0039295; 0.0022202; 0.0022098
Control; 6588; 6580; 12; 1.0012; 0.00060753; 0.0022234; 0.0022089
Control; 7265; 6913; 7; 1.0509; 0.024827; 0.002212; 0.0022196
Control; 5265; 4748; 8; 1.1089; 0.051633; 0.0022064; 0.0022048
