Project;"	Type";"	num_cell";"	num_act_cell";"	 percent";"	num_edges_d";"	num_rec_cell";num_tr_cell;"	num_ind_cell";"	 max_frame_event";"	 sr_frame_event";"	 sr_conn_cell";sr_conn_period;"	 num_edges_compr";"	cell_event";"	cell_ev_perc";"	 num_edges_norm";max_frame_event_norm;"	 sr_frame_event_norm";"	cell16tr";;;;;
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 1 from 0000 to 2400\;Control;458;452; 98.69;2312551;27;26;399;34631; 18403.2808; 5047.1507; 5030.6528;198915;452; 98.69; 434.3122; 75.6135; 40.1818;452;0;0;0;0;452
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 1 from 2400 to 4800\;Control;458;449; 98.0349;2557561;26;15;408;33322; 21092.0662; 5583.0961; 5562.131;194359;449; 98.0349; 424.3646; 72.7555; 46.0525;449;0;0;0;0;449
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 1 from 4800 to 7200\;Control;458;446; 97.3799;2158064;34;23;389;30636; 18953.0783; 4709.548; 4685.6157;190048;446; 97.3799; 414.952; 66.8908; 41.3823;446;0;0;0;0;446
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 2 from 0000 to 2400\;Control;458;455; 99.345;1460949;32;17;406;33181; 9669.3658; 3188.4476; 3120.8799;180956;455; 99.345; 395.1004; 72.4476; 21.1122;455;0;0;0;0;455
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 2 from 2400 to 4800\;Control;458;441; 96.2882;1572473;18;14;409;26008; 11082.6963; 3432.5873; 3386.1048;174487;441; 96.2882; 380.976; 56.786; 24.198;441;0;0;0;0;441
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 2 from 4800 to 7200\;Control;458;429; 93.6681;1852707;15;17;397;23950; 12827.2921; 4044.107; 4010.6354;169958;429; 93.6681; 371.0873; 52.2926; 28.0072;429;0;0;0;0;429
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 3 from 0000 to 2400\;Control;464;454; 97.8448;1595106;28;7;419;19517; 11153.3279; 3436.153; 3394.4159;190843;454; 97.8448; 411.2996; 42.0625; 24.0373;454;0;0;0;0;454
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 3 from 2400 to 4800\;Control;464;458; 98.7069;1049300;44;34;380;21915; 9046.2579; 2259.5151; 2199.2435;185439;458; 98.7069; 399.653; 47.2306; 19.4962;458;0;0;0;0;458
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 3 from 4800 to 7200\;Control;464;457; 98.4914;1002107;44;31;382;19775; 9028.4517; 2159.1293; 2092.9267;181134;457; 98.4914; 390.375; 42.6185; 19.4579;457;0;0;0;0;457
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 4 from 0000 to 2400\;Control;409;408; 99.7555;2519203;4;4;400;30530; 18387.1496; 6156.0073; 6144.7922;163795;408; 99.7555; 400.4768; 74.6455; 44.9564;408;0;0;0;0;408
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 4 from 2400 to 4800\;Control;409;407; 99.511;2225857;11;3;393;30939; 19019.9813; 5439.7579; 5426.198;161043;407; 99.511; 393.7482; 75.6455; 46.5036;407;0;0;0;0;407
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 4 from 4800 to 7200\;Control;409;406; 99.2665;1718002;23;13;370;28424; 15708.8742; 4199.7359; 4179.6186;158397;406; 99.2665; 387.2787; 69.4963; 38.408;406;0;0;0;0;406
2022.09.21 Lukonina Yarullina astro_ATP_hyp\1\calculus_Control 5 from 1200 to 3600\;Control;257;255; 99.2218;893928;9;4;242;10857; 5998.8567; 3475.4475; 3457.9572;61500;255; 99.2218; 239.2996; 42.2451; 23.3419;255;0;0;0;0;255
